University,Status,Target Major,Term,Q,V,AWA,Total,TOEFL,UG College,UG Major,CGPA,Papers,Work Ex
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,161,152,3.5,313,99,Sastra University,Information Technology,64,N/A,29 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,165,145,3,310,6.5,CVSR College of Engineering,ECE,76.3,0,17 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,166,154,3,320,105,"Saraswati College Of Engineering, Kharghar",Computer Science,6.75,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,159,146,3,305,101,University of Pune,Computer Science,60,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,155,150,3,305,87,St.John College of Engg and Technology,Computer Science,7.41,0,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,161,151,3.5,312,115,Christ University (Faculty of Engineering),Computer Science,70,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,155,152,4,307,104,pvppcoe,Information Technology,59,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,168,146,3,314,101,Jamia Millia Islamia,Computer Science,8.02,N/A,31 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,158,149,3,307,92,"Amity University, Noida",Information Technology,9.6,N/A,19 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,156,152,3.5,308,112,"St. Francis Institute Of Technology (SFIT), Borivali",Information Technology,7.21,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,161,149,4,310,112,Unknown,Computer Science,8.5,N/A,30 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,161,151,4,312,106,K. J. Somaiya College of Engineering,Computer Science,7.6,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,157,149,3.5,306,91,"St. Francis Institute Of Technology (SFIT), Borivali",Information Technology,62.45,0,43 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,156,151,3.5,307,104,Yeshwantrao Chavan College of Engineering,Computer Science,6.79,1,1 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,156,152,4,308,110,MIT College of Engineering,Computer Science,62.02,N/A,28 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,165,159,4,324,0,Pune Vidyarthi Griha's College Of Engineering And Technology,Information Technology,66,N/A,13 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,153,151,3,304,96,Acropolis Technical Campus,Computer Science,6.75,0,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Spring 2016,155,143,3.5,298,91,"P.E.S. Institute of Technology, Bangalore",Computer Science,75,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Spring 2019,157,148,3,305,7,Vignan Institute Of Technology And Science,ECE,84.48,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,161,144,3,305,7.5,Sreenidhi Institute of Science and Technology,Computer Science,82.35,N/A,17 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,170,150,0,320,109,Dhirubhai Ambani Institute of Information & Communication Technology (DA-II,Computer Science,7.97,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,167,137,3,304,6.5,RVR & JC College of Engineering,ECE,7.55,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,157,145,3,302,86,"Dr D Y Patil School Of Engineearing Lohegaon , pune",Computer Science,63,1,29 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,157,137,2.5,294,83,"Universal College Of Engineering ,kaman road,vasai",Information Technology,6.9,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,160,159,4,319,107,"Vishwakarma Institute of Technology, Pune",Computer Science,8.7,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,158,147,3.5,305,96,Amrita University Coimbatore Campus,Computer Science,7.15,1,11 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,156,156,3,312,93,Marathwada Mitra Mandal's College Of Engineering (MMCOE),Computer Science,61,N/A,40 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,167,145,2.5,312,96,MVSR Engineering College,Information Technology,70,N/A,16 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Spring 2019,165,164,N/A,329,113,Bangalore Institute of Technology,Computer Science,7.91,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,162,146,3.5,308,96,jawaharlal nehru technological university hyderabad,Computer Science,71,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,159,151,3,310,93,Jamia Millia Islamia,Computer Science,6.95,0,14 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2014,161,150,4,311,105,MVJ College Of Engineering,Computer Science,71.3,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,162,156,3,318,98,d y patil school of engineering,ECE,58,N/A,21 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,158,149,N/A,307,100,"Maharastra Institute of Technology , Pune",Information Technology,58,N/A,29 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,156,152,3.5,308,99,KIIT University,Computer Science,7.6,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,N/A,N/A,N/A,N/A,90,Pune Institute of Computer Technology,Information Technology,67.96,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Spring 2019,162,144,3,306,89,VNR Vignana Jyothi Institute of Engineering and Technology,Computer Science,8.81,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,160,143,3.5,303,95,Guru Nanak Dev University Regional Campus,Computer Science,7.5,0,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2016,161,158,4,319,118,"Sinhgad Institute Of Technology And Science, Narhe",Computer Science,66.6,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Spring 2019,158,148,4.5,306,105,Keshav Memorial Institute of Technology (KMIT),Computer Science,77,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2016,161,148,3,309,94,"Institute of Engineering and Technology, DAVV",ECE,64,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,164,143,3,307,7,LDRP-ITR,Computer Science,8.1,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2015,159,149,3,308,108,Jyothi Engineering College,Computer Science,83,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,158,152,3,310,7.5,"University college of Engineering, Osmania university",ECE,8.86,0,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Spring 2017,149,152,3.5,301,103,University Visveswaraya College of Engineering,Information Technology,72,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,160,146,4,306,101,gurukul kangri university,EEE,7.6,0,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2015,167,151,4,318,96,N/A,N/A,N/A,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2016,155,157,4,312,8,"SCET, Surat",Computer Science,8.4,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,156,146,3.5,302,N/A,JSpm RS,Computer Science,73,N/A,11 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,159,145,3,304,102,Cusat,Computer Science,75,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,160,140,3,300,80,The Oxford College Of Engineering,Computer Science,7.93,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,162,153,4.5,315,95,St. Vincent Pallotti College Of Engineering And Technology,ECE,6.95,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,155,142,N/A,297,87,East West Institute Of Technology,ECE,71,N/A,50 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2016,163,147,3.5,310,98,Fcrit vashi,Computer Science,61,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,159,152,3.5,311,8,Rajagiri School of Engineering and Technology,Computer Science,7.66,0,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,158,148,3,306,93,Pune Institute of Computer Technology,Information Technology,64.95,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,162,140,3,302,7,Pvp Siddhartha Institute Of Technology,EEE,8.8,N/A,30 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,159,149,3.5,308,108,"Loyola-ICAM College of Engineering & Technology (LICET), Nungambakkam",Computer Science,7.6,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,161,147,3.5,308,102,PRMIT,Computer Science,6.8,0,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2016,158,149,3,307,105,The Oxford College Of Engineering,Computer Science,72.67,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2015,163,149,3,312,98,"Shah & Anchor Kutchhi Engineering College, Chembur",Information Technology,59.67,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,161,146,N/A,307,93,RCOEM,Computer Science,6.16,N/A,33 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,157,157,4,314,111,SRM University,Computer Science,8.02,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2016,157,145,3,302,89,"Sinhgad Academy Of Engineering, Kondhwa",Computer Science,63,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,154,147,2.5,301,99,JSPM Narhe Technical Campus,Computer Science,64,N/A,18 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,170,154,4.5,324,115,"National Institute Of Technology, Durgapur",Information Technology,8.48,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,164,167,4.5,331,114,"College of Engineering, Guindy",Computer Science,6.87,N/A,18 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,167,154,3.5,321,105,Pune Vidyarthi Griha's College Of Engineering And Technology,Computer Science,56,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,163,152,3,315,92,Shri Shankracharya group of institutions,Information Technology,7.6,N/A,24 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,162,144,3.5,306,90,Acharaya Institute Of Technology,Computer Science,73,N/A,2 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,155,142,3.5,297,86,Shri Shankaracharya Institute of Professional Management And Technology,Computer Science,8.06,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,153,149,3.5,302,99,"Padmabhooshan vasantdada patil institute of technology, bu",Information Technology,62.61,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,158,147,3,305,106,"St. Francis Institute Of Technology (SFIT), Borivali",Information Technology,70.25,0,41 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,152,147,N/A,299,98,Technocrats Institute of Technology [Excellence],Computer Science,7.8,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,163,151,3.5,314,N/A,Amity University,Computer Science,6.89,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,168,148,3,316,83,YCCE,Information Technology,8.3,N/A,18 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,161,144,3.5,305,7,Sri Indu College Of Engineering And Technology,EEE,80.5,0,34 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,165,152,3,317,97,Sri Venkateshwara College Of Engineering (SVCE),Computer Science,6,2,1 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2016,158,145,3.5,303,99,Manipal Institute of Technology,Information Technology,6.53,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2016,163,145,3.5,308,92,Medicap Institute of Technology & Management,Computer Science,7.3,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,163,155,3,318,97,Thiagarajar college of Engineering,EEE,8.06,N/A,7 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,161,160,0,321,114,jamia Hamdard,Computer Science,6.8,0,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2018,165,138,3,303,6.5,Amrita University Coimbatore Campus,Computer Science,6.89,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,166,143,3,309,82,"D. Y. Patil College of Engineering, Akurdi",Computer Science,64.5,1,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Spring 2018,160,145,3,305,8,VNR Vignana Jyothi Institute of Engineering and Technology,Computer Science,8,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2016,163,151,0,314,104,Walchand Institute of Technology,Computer Science,62,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2019,160,140,3,300,95,Bangalore Institute of Technology,Computer Science,72,N/A,0 Mo
"University of Maryland, Baltimore County",Reject,Computer Science,Fall 2017,163,146,3,309,85,Jaipur Engineering College & Research Centre,Computer Science,71,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,167,160,4.5,327,113,M S Ramaiah university of Applied Sciences,Computer Science,9.25,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,168,166,4,334,110,IIT Madras,Computer Science,8.99,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,157,N/A,321,104,PES University,Computer Science,8.81,1,11 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,169,157,4,326,111,Pune Institute of Computer Technology,Computer Science,8.37,N/A,9 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,168,151,0,319,92,Daiict,Information Technology,8,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,145,3.5,309,97,NIT Warangal,Computer Science,7.79,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,163,4.5,327,111,Bapatla Engineering Colleage,EEE,8.66,0,19 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,166,155,4,321,109,University of Hyderabad,Computer Science,8.6,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,158,154,4,312,114,Manipal University Jaipur,Computer Science,9.07,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,163,162,4,325,116,Vellore Institute of Technology,EEE,8.34,0,33 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,167,158,3,325,108,Jabalpur Engineering College,Computer Science,7.75,N/A,42 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,170,152,4,322,109,"Maeer's MIT College Of Engineering, Kothrud",Computer Science,72.01,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,168,147,4,315,7.5,BML Munjal University,ECE,8.96,1,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,170,157,3,327,101,NIT Surat,Computer Science,8.9,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,166,161,3,327,115,NIT Calicut,Computer Science,9.47,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,165,150,3.5,315,105,Acropolis Institute of Technology & Research,Computer Science,6.48,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,168,161,4,329,114,NIT Surathkal,Computer Science,8.89,2,5 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,159,165,3.5,324,109,NIT Silchar,ECE,8.54,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,161,152,N/A,313,N/A,"MKSSS's Cummins College Of Engineering For Women, Karvenagar",Computer Science,70.63,N/A,17 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,167,153,4,320,103,IIT Hyderabad,ECE,8.2,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,166,157,4.5,323,114,M. S. Ramaiah Institute of Technology,Information Technology,9.11,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,155,3,319,8.5,Panjab University,ECE,83.5,N/A,28 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,165,159,5,324,111,SSN College of Engineering,Computer Science,8.86,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,155,3.5,319,104,"Vivekanand Education Society's Institute of Technology, Mumbai",Computer Science,8.37,1,2 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,165,161,N/A,326,N/A,M S Ramaiah Institute of Technology,Computer Science,9.32,2,19 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,162,158,3.5,320,112,"B.M.S. College of Engineering, Bangalore",Information Technology,9.1,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,163,157,4,320,108,"P.E.S. Institute of Technology, Bangalore",ECE,8.9,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,160,157,4,317,109,Sastra University,Computer Science,73.75,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,163,153,4,316,104,RV College of Engineering,Computer Science,8.1,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,170,156,4,326,101,"Indian Institute of Information Technology (IIIT),",ECE,8.7,1,16 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,167,159,4,326,116,Medicaps Institute of Technology and Management,Computer Science,8.21,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,163,158,4.5,321,111,"St Joseph college of Engineering, Vamanjoor",ECE,78,N/A,64 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,161,153,4,314,103,SHRI G.S. INSTITUTE OF TECHNOLOGY & SCIENCE,Computer Science,7.4,0,48 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,165,157,3,322,110,Manipal Institute of Technology,Computer Science,7.86,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,166,155,3,321,93,Gec gandhinagar,Computer Science,8.71,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,167,156,4.5,323,115,RV College of Engineering,Computer Science,8.98,N/A,18 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,165,155,4,320,113,Babaria Institute Of Technology,Computer Science,8.6,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,161,154,4,315,111,Bangalore Institute of technology,Computer Science,80,0,28 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,166,163,4,329,107,"BITS Pilani, Pilani Campus",Computer Science,8.68,N/A,20 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,165,151,4,316,117,Vellore Institute of Technology,Computer Science,9.12,1,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,165,152,4,317,110,NIT Rourkela,Computer Science,9.68,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,167,152,4,319,114,Veermata Jijabai Technological Institute,Information Technology,8.68,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,163,155,4,318,111,Maharaja Surajmal Institute of Technology,Information Technology,81.78,2,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,166,152,3,318,106,R.V. College Of Engineering,Computer Science,9.17,N/A,30 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,169,157,4.5,326,109,R V College of Engineering,Computer Science,9.45,N/A,17 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,160,162,3,322,114,MG university,Computer Science,8.2,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,170,150,4,320,105,NIT Nagpur,ECE,8.74,0,24 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,161,151,3.5,312,115,Christ University (Faculty of Engineering),Computer Science,70,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,165,152,3.5,317,105,Sastra University,Computer Science,8.76,N/A,17 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,165,149,3.5,314,110,"Fr. C. Rodrigues Institute Of Technology, Vashi",Information Technology,8.1,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,169,152,4,321,98,IIITDM,Computer Science,8.1,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,161,4,325,111,IIITDM Kancheepuram,Computer Science,8.7,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,162,151,4,313,109,"M S Ramaiah Institute of Technology, Bangalore",Computer Science,8.91,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,170,158,4,328,111,"Institute of Engineering and Technology, DAVV",Information Technology,75,0,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,162,155,N/A,317,N/A,NATIONAL INSTITUTE OF SCIENCE AND TECHNOLOGY,Computer Science,8,N/A,39 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,162,150,4.5,312,107,Vellore Institute of Technology,Computer Science,8.86,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,169,152,4.5,321,112,NIT Surathkal,Information Technology,9.09,3,18 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,169,159,4,328,115,"Amity University, Noida",Computer Science,9.15,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,155,145,3,300,6.5,Kurukshetra institude of technology and management,Computer Science,70.55,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,167,152,3,319,98,RV College of Engineering,Computer Science,8.97,N/A,6 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,162,157,4,319,104,Pune Institute of Computer Technology,Computer Science,8.25,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,163,148,3.5,311,7.5,Vishwakarma Government Engineering College,Information Technology,8.1,0,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,164,156,4,320,115,NMIMS Mukesh Patel School of Technology Management and Engineering,Computer Science,3.5,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,168,152,4.5,320,N/A,Vellore Institute of Technology,Information Technology,9.26,N/A,17 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,161,157,4,318,112,"Rajalakshmi Institute of Technology (RIT), Kuthambakkam, Sriperumbudur",Computer Science,8.58,N/A,13 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,169,159,0,328,108,RV College of Engineering,Computer Science,9.32,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,164,149,3.5,313,N/A,"BITS Pilani, Goa Campus",EEE,7.96,N/A,18 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,167,162,4.5,329,118,Shiv Nadar University,Computer Science,7.79,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,162,150,2.5,312,110,"P.E.S. Institute of Technology, Bangalore",Computer Science,8.5,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,164,4.5,328,116,vivekand education society's institute of technology,Computer Science,9.09,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,153,152,3,305,7,Anna University,EEE,8.46,2,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,170,160,5,330,8.5,RVCE,Computer Science,9.1,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,170,155,3,325,99,IIT Bhubaneswar,EEE,80,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2016,170,163,0,333,117,IIT Jodhpur,Computer Science,9.35,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,170,152,4,322,107,NIT Surat,ECE,80,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,168,153,3,321,N/A,punjab engineering college,Computer Science,6.92,N/A,18 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,170,150,4,320,104,"BITS Pilani, Dubai campus",Computer Science,8.54,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,168,156,5,324,114,Veermata Jijabai Technological Institute,Computer Science,7.54,N/A,6 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,165,166,4.5,331,117,R V College of Engineering,ECE,8.13,N/A,5 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,159,150,3,309,97,NIT Raipur,Metallurgical Engineering,75.06,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,170,155,4,325,103,DAIICT,Computer Science,7.1,0,20 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,169,151,3.5,320,106,Heritage Institute of Technology,Information Technology,8.23,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,165,156,3.5,321,110,RV College of Engineering,ECE,8.99,0,29 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,162,155,4,317,109,"Vishwakarma Institute of Technology, Pune",Computer Science,8.92,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2018,167,152,3.5,319,107,DDU,Computer Science,8.6,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,157,150,4,307,93,KLS Gogte Institute Of Technology,Information Technology,7.63,N/A,30 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,167,150,4,317,105,"Vishwakarma Institute of Technology, Pune",Computer Science,7.5,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,162,154,5,316,110,SIES Graduate School of Technology,Computer Science,9.1,N/A,17 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,165,154,4,319,101,Vellore Institute of Technology,Computer Science,9.13,N/A,31 Mo
"University of Maryland, College Park",Reject,Computer Science,Spring 2019,166,147,3.5,313,108,G H PATEL COLLEGE OF ENGINEERING,Information Technology,8.64,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,150,3.5,314,93,IIT Madras,EEE,7.1,0,16 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,166,150,4,316,108,SRM University,Computer Science,9.69,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,163,143,2.5,306,90,"MKSSS's Cummins College Of Engineering For Women, Karvenagar",Computer Science,66,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,150,4,314,103,gtu,Computer Science,9.1,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,165,162,3.5,327,117,M.S. Ramaiah institute of technology,Computer Science,9.36,N/A,0 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,164,153,3.5,317,106,Bangalore Institute of Technology,Computer Science,80,1,55 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2019,165,148,4,313,102,IIT Guwahati,Civil Engineering,6.59,4,27 Mo
"University of Maryland, College Park",Reject,Computer Science,Fall 2017,170,156,N/A,326,N/A,Xyz,Computer Science,4,N/A,11 Mo
